¿Cuántos estados tiene México?;32 Estados;27 Estados;45 Estados;35 Estados;Los útlimos estados en formar parte de la federación fueron Quintana Roo y Baja California Sur
Revolucionario que llegó a ser presidente de México de 1920 a 1924.;Álvaro Obregón;Emiliano Zapata;Porfirio Díaz;Benito Juarez;Fue llamado "El Manco de Celaya" porque perdió el brazo en una batalla de dicha ciudad. 
Sucedió al cura Hidalgo en la Guerra de Independencia.;José María Morelos;Vicente Guerrero;Porfirio Díaz;Miguel Hidalgo;Escribió "Los Sentimientos de la Nación", pimera constitución de México.
Compositor de la música del Himno Nacional.;Jaime Nunó;Enrique Iglesias;Emiliano Zapata;Agustín Lara;Compositor, concertista, director de orquesta y director de óperas español que trabajó de cerca con Francisco González Bocanegra.
Pintora mexicana en cuyas obras plasmaba sus emociones y sentimientos.;Frida Kahlo;Sor Juana Inés de la Cruz;María José;María Izquierdo;Fue autora de 150 obras, principalmente autorretratos y es considerada ícono pop de la cultura mexicana.
Significado del color verde en la bandera de México;Religión;Unión;Amistad;Independencia;Relacionado al conjunto de creencias sobre la divinidad.
Significado del color rojo en la bandera de México;Unión;Sangre;Amor;Amistad;Relacionado a la cercanía entre individuos para formar uno solo.
¿Cuáles son los 3 simbolos patrios?;Escudo, bandera e himno nacional;Sombrero, bandera e himno nacional;Himno nacional, tequila y bandera;Bandera, desierto y escudo;Símbolo en el que se representa la leyenda de Huitzilopochtli, enseña tricolor y canto que se entona como representación de los valores mexicanos.
¿Qué devora el águila en el escudo nacional?;Una serpiente ;Un ratón;Un perro;Un insecto;Es uno de los reptiles más comunes como presa de las águilas.
¿Quién dijo "El respeto al derecho ajeno es la paz"?;Benito Juarez;Porfirio Díaz;Jose María Morelos;Álvaro Obregón;Es conocido como "Benemérito de las Américas".
¿Qué maravilla del mundo se encuentra en México?;Templo de Kukulcán, en Chichén Itzá;Ciudad de México;Cerro de la silla, Nuevo León;Pirámides de Teotihuacán, México;Representación maya del dios Quetzalcóatl.
Célebre cura, que declaró la Independencia de México en 1810;Miguel Hidalgo;Benito Juárez;Victoriano Huerta;Agustín Caloca;También conocido como el padre de la patria.
Leyenda mexicana, acerca de una mujer llorando por sus hijos;La Llorona;El Popocatépetl y el Iztaccíhuatl;El nahual;Conejo en la luna;Conocida también como Chocacíhuatl.
Países fronterizos con México;Estados Unidos, Guatemala y Belice ;Canadá y Estados Unidos;Colombia y El Salvador;Estados Unidos y Colombia;Uno de ellos formó también el tratado de libre comercio.
Día mexicano en el que se celebra la muerte, que toma lugar en Noviembre;Día de muertos;Día de la calavera;Día de las flores;Halloween;Durante la festividad se adorna con la planta cempasúchil.
Personaje femenino que formó parte importante en la conquista de México;La Malinche;Sor Juana Inés de la Cruz;Frida Kahlo;Leona Vicario;Personaje que en México es considerado estereotipo de traición.
Grupo musical, de canto, cuerda y trompeta, tradicional mexicano;Mariachi;Grupo musical, de canto, cuerda y trompeta, tradicional mexicano;Banda de guerra;Charrería;Considerado por la UNESCO como patrimonio cultural inmaterial de la humanidad.
Nombre oficial de México.;Estados Unidos Mexicanos;República Soberana Mexicana;Emiratos Unidos Mexicanos;América Mexicana;Parecido al nombre de nuestros vecinos del norte.
Día de la Independencia Mexicana;16 de septiembre;14 de octubre;22 de septiembre;1 de noviembre;Se celebra alrededor de la mitad del mes.
